SMILES,Shifts,Atom#,Solvent
C(C(OC(C(F)(F)F)(F)[H])(F)F)(F)(F)F,"['-145.77', '-91.24', '-89.45', '-86.48', '-84.12']","[['6'], ['14'], ['7'], ['11', '12', '13'], ['8', '9', '10']]",CDCl3
C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(Cl)Cl)(F)(F)F,['-79.68'],"[['8', '9', '10']]",CDCl3
C(C(C(F)(F)[H])(Cl)Cl)(F)(F)F,"['-124.38', '-75.86']","[['4', '10'], ['5', '6', '7']]",CDCl3
C(C(=C(Cl)Cl)[H])(F)(F)Cl,['-47.14'],"[['5', '6']]",CDCl3
C(C(=C([H])Cl)[H])(F)(Cl)Cl,['-63.94'],[['5']],CDCl3
C1(OC(=C(O1)F)OC(F)(F)F)(F)F,"['-145.5', '-58.4', '-44.2']","[['13'], ['10', '11', '12'], ['7', '8']]",CDCl3
C1(OC(C(O1)(F)[H])(OC(F)(F)F)Cl)(F)F,"['-137.6', '-56.1', '-50.3']","[['13'], ['10', '11', '12'], ['7', '8']]",CDCl3
C(=C(C(=C(F)F)F)F)(F)F,"['-181.3', '-107.1', '-93.4']","[['7', '8'], ['6', '9'], ['5', '10']]",CDCl3
C1(OC(C(O1)(F)Cl)(OC(F)(F)F)Cl)(F)F,"['-62.6', '-57.5', '-50.3']","[['13'], ['10', '11', '12'], ['7', '8']]",CDCl3
C1(OC(C(O1)(F)Cl)(OC(F)(F)F)Cl)(F)F,"['-57.5', '-56.1', '-50.3']","[['10', '11', '12'], ['13'], ['7', '8']]",CDCl3
C(C(F)(Cl)OC(OC(F)(F)C(F)(F)F)(F)F)(F)(F)[H],"['-136.3', '-85.4', '-83.2', '-72.6', '-47.2']","[['7', '8'], ['14', '15'], ['17', '18', '19'], ['10'], ['12', '13']]",CDCl3
C(C(F)(OC(OC(F)(F)C(F)(F)F)(F)F)[H])(F)(F)Cl,"['-139.7', '-85.4', '-83.1', '-66.3', '-47.3']","[['10'], ['14', '15'], ['17', '18', '19'], ['7', '8'], ['12', '13']]",CDCl3
C(=C(C(C(F)(F)Cl)(F)[H])F)(F)F,"['-182.4', '-181.3', '-105.2', '-96.4', '-68.0']","[['9'], ['8'], ['6'], ['7'], ['11', '12']]",CDCl3
C1(F)(F)OC(C(O1)(Cl)F)(OC(F)(F)F)[H],"['-62.2', '-57.5', '-50.3']","[['15'], ['10', '11', '12'], ['6', '7']]",CDCl3
C1(=C(C(=C(C(=C1C(C(F)(F)F)(C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])OC(C(F)(F)Br)(F)F)[H])[H])[H])[H])OC(C(F)(F)Br)(F)F)[H])[H],"['-85.2', '-68.3', '-62.5']","[['28', '29', '34', '35'], ['30', '31', '32', '33'], ['16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C(C(F)(F)F)(C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])OC(=C(F)F)F)[H])[H])[H])[H])OC(=C(F)F)F)[H])[H],"['-134.7', '-126.4', '-119.3', '-62.5']","[['28', '33'], ['29', '31'], ['30', '32'], ['16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C(C(F)(F)F)(C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])OC(C(F)(F)[H])(F)F)[H])[H])[H])[H])OC(C(F)(F)[H])(F)F)[H])[H],"['-137.4', '-88.3', '-62.5']","[['30', '31', '32', '33'], ['28', '29', '34', '35'], ['16', '17', '18', '19', '20', '21']]",CDCl3
C1(=C(C(=C(C(=C1C(C(F)(F)F)(C(F)(F)F)C2=C(C(=C(C(=C2[H])[H])OC(C(F)(F)Br)(F)F)[H])[H])[H])[H])OC(C(F)(F)C(C(OC3=C(C(=C(C(C4=C(C(=C(C(=C4[H])[H])OC(C(F)(F)Br)(F)F)[H])[H])(C(F)(F)F)C(F)(F)F)C(=C3[H])[H])[H])[H])(F)F)(F)F)(F)F)[H])[H],"['-120.7', '-88.4', '-85.2', '-68.3', '-62.5']","[['32', '36', '66', '71'], ['33', '34', '64', '65'], ['28', '29', '69', '70'], ['30', '31', '67', '68'], ['16', '17', '18', '19', '20', '21', '52', '53', '54', '55', '56', '57']]",CDCl3
FC(=C(F)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F)C(F)(F)F,"['-157.6', '-156.4', '-126.99', '-124.75', '-118.82', '-81.47', '-69.33']","[['1'], ['4'], ['17', '18'], ['13', '14'], ['11', '12'], ['19', '20', '21'], ['6', '7', '8']]",CDCl3
C(=C(C(C(F)(F)F)(F)F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,"['-134.84', '-134.22', '-126.85', '-118.12', '-116.22', '-84.07', '-81.11']","[['3'], ['5'], ['17', '18'], ['11', '12'], ['15', '16'], ['10', '13', '14'], ['19', '20', '21']]",CDCl3
C(=C(C(C(F)(F)F)(F)F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,"['-155.19', '-154.44', '-128.43', '-121.84', '-119.49', '-84.89', '-81.23']","[['5'], ['6'], ['11', '12'], ['17', '18'], ['9', '10'], ['19', '20', '21'], ['13', '14', '15']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])F)[H])[H])O[H],['-127.05'],[['8']],CDCl3
C1(=C(C(=C(C(=C1[H])[H])F)[H])[H])OC([H])([H])[H],['-125.09'],[['8']],CDCl3
C(C(C(F)(F)F)(OC(C(F)(F)F)(F)[H])F)(F)(F)F,"['-145.11', '-142.88', '-84.11', '-81.35', '-80.86']","[['4'], ['14'], ['15', '16', '17'], ['9', '10', '11'], ['6', '7', '8']]",CDCl3
C(C(C([H])([H])OC(C(F)(F)[H])(F)F)(F)F)(F)(F)[H],"['-138.78', '-137.32', '-125.53', '-92.71']","[['7', '8'], ['16', '17'], ['12', '13'], ['14', '15']]",CDCl3
FC(C(F)(F)OC(C(C(F)(F)Cl)(F)F)(Cl)Cl)(Cl)F,"['-112.58', '-87.77', '-74.34', '-63.1']","[['15', '16'], ['11', '12'], ['1', '10'], ['17', '18']]",CDCl3
C(C(F)([H])[H])(Cl)(Cl)F,"['-210.27', '-66.85']","[['6'], ['5']]",CDCl3
C(C(C(Cl)(Cl)Cl)([H])[H])(Cl)(Cl)F,['-52.74'],[['6']],CDCl3
C(C(C(Cl)(Cl)F)([H])[H])(Cl)(Cl)F,['-52.54'],"[['6', '11']]",CDCl3
C(C(C([H])([H])[H])([H])[H])(F)(F)F,['-68.98'],"[['4', '5', '6']]",CDCl3
C(C(C(C(C(C(F)(F)F)([H])[H])(F)F)(F)F)(F)F)(F)(F)F,"['-126.11', '-124.47', '-114.0', '-81.4', '-61.01']","[['10', '11'], ['12', '13'], ['14', '15'], ['7', '8', '9'], ['16', '17', '18']]",CDCl3
C(C(C(C(F)(F)[H])(F)F)(F)F)(F)(F)[H],"['-137.82', '-131.1']","[['5', '6', '11', '12'], ['7', '8', '9', '10']]",CDCl3
C(C(C(F)(F)[H])([H])[H])(F)(F)[H],['-116.5'],"[['4', '5', '6', '7']]",CDCl3
C(C(C([H])([H])[H])(F)F)(F)(F)F,"['-111.4', '-87.0']","[['7', '8'], ['4', '5', '6']]",CDCl3
C1(C(C(C1(F)F)(C(F)(F)F)F)(C(F)(F)F)F)(F)F,"['-192.48', '-129.78', '-125.79', '-73.68']","[['7', '8'], ['10', '12'], ['9', '11'], ['13', '14', '15', '16', '17', '18']]",CDCl3
C1(C(C(C1(F)F)(C(F)(F)F)F)(C(F)(F)F)F)(F)F,"['-190.73', '-128.05', '-127.5', '-73.41']","[['7', '8'], ['10', '12'], ['9', '11'], ['13', '14', '15', '16', '17', '18']]",CDCl3
C(F)(F)(F)[N+]([O-])=O,['-72.3'],"[['3', '4', '5']]",CDCl3
C(F)(F)(F)[N+]([O-])=O,['-74.6'],"[['3', '4', '5']]",neat
C(C(C([H])([H])[H])(F)[H])(F)(F)F,"['-194.97', '-81.82']","[['7'], ['4', '5', '6']]",CDCl3
C(C(C(C(C(Cl)(Cl)F)([H])[H])(Cl)Cl)(F)F)(F)(F)F,"['-116.26', '-75.2', '-50.46']","[['9', '10'], ['6', '7', '8'], ['15']]",CDCl3
C(C(C(F)(F)[N+]([O-])=O)(F)F)(F)(F)F,"['-124.0', '-100.0', '-86.4']","[['5', '13'], ['6', '7'], ['10', '11', '12']]",CDCl3
C1(C(C(C1(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F,"['-186.0', '-122.0', '-71.0']","[['12', '15'], ['7', '8', '13', '14'], ['9', '10', '11', '16', '17', '18']]",CDCl3
C1(C(C(N(C(C1(F)F)(F)F)F)(F)F)(F)F)(F)F,"['-133.6', '-131.3', '-113.0', '-109.2']","[['12', '13'], ['10', '11', '14', '15'], ['7'], ['8', '9', '16', '17']]",CDCl3
O1C(C(N(C(C1(F)F)(F)F)F)(F)F)(F)F,"['-112.4', '-110.3', '-86.2']","[['7'], ['8', '9', '14', '15'], ['10', '11', '12', '13']]",CDCl3
C1(C(C(N(C(C1(F)F)(F)F)F)(F)C(F)(F)F)(F)F)(F)F,"['-158.2', '-141.3', '-132.1', '-122.9', '-120.9', '-111.4', '-102.6', '-72.8']","[['8'], ['12', '14'], ['10'], ['13', '15'], ['11'], ['16'], ['7', '17'], ['18', '19', '20']]",CDCl3
C1(C(C(N(C(C1(F)F)(F)F)F)(F)F)(F)C(F)(F)F)(F)F,"['-184.0', '-138.6', '-132.2', '-121.1', '-113.0', '-112.8', '-106.6', '-102.0', '-70.1']","[['10'], ['15'], ['12'], ['13', '14'], ['7'], ['17'], ['16'], ['8', '9'], ['18', '19', '20']]",CDCl3
C1(C(C(N(C(C1(F)F)(F)F)F)(F)F)(F)F)(F)C(F)(F)F,"['-188.6', '-130.8', '-117.5', '-112.4', '-111.3', '-104.7', '-70.4']","[['13'], ['11', '15'], ['10', '14'], ['7'], ['8', '16'], ['9', '17'], ['18', '19', '20']]",CDCl3
C(C(C(Cl)(F)F)(F)F)(Cl)(F)F,"['-118.89', '-65.78']","[['6', '7'], ['4', '5', '8', '9']]",CDCl3
C(C(C(F)(Cl)Cl)(F)F)(F)(F)F,"['-119.72', '-77.92', '-73.04']","[['8', '9'], ['5', '6', '7'], ['4']]",CDCl3
C(C(C(C(C(F)(F)Cl)(F)F)(Cl)Cl)(F)F)(Cl)(F)F,"['-105.65', '-62.17']","[['6', '7', '8', '9'], ['11', '14', '15', '16']]",CDCl3
C(F)(F)(Cl)OC(C(F)(F)[H])(F)F,"['-90.35', '-87.6', '-26.96']","[['11', '12'], ['9', '10'], ['6', '7']]",CDCl3
C(OC(C(F)([H])C(F)(F)F)(F)F)([H])([H])[H],"['-212.34', '-86.33', '-83.67', '-75.84']","[['8'], ['5'], ['6'], ['10', '11', '12']]",CDCl3
C(C(Cl)(Cl)OC(C(F)(F)Cl)(F)F)(F)(F)F,"['-87.79', '-84.14', '-74.32']","[['12', '13'], ['7', '8', '9'], ['6', '14']]",CDCl3
C(C(Cl)(Cl)OC(C(F)(F)Cl)(F)F)(Cl)(Cl)Cl,"['-88.68', '-74.19']","[['12', '13'], ['6', '14']]",CDCl3
C(C(Cl)(Cl)OC(C(F)(F)[H])(F)F)(Cl)(Cl)Cl,"['-137.81', '-90.06']","[['6', '14'], ['12', '13']]",CDCl3
C(C(OC(C(F)(F)F)(F)[H])(F)F)(C(F)(F)F)(F)F,"['-145.41', '-130.08', '-86.61', '-85.46', '-84.27', '-81.81']","[['13'], ['8', '9'], ['11'], ['10'], ['6', '14', '15'], ['16', '17', '18']]",CDCl3
C(C(=C(F)C([H])(C(F)(F)F)C(F)(F)F)[H])(F)(F)F,"['-99.57', '-64.81', '-58.14']","[['8'], ['13', '14', '15', '16', '17', '18'], ['4', '5', '6']]",CDCl3
O(C(F)(F)C(F)(F)F)C(C(OC(F)(F)C(F)(F)F)(F)F)(C(OC(C(F)(F)F)(F)F)(F)F)F,"['-144.6', '-88.4', '-87.2', '-87.1', '-85.2', '-81.9']","[['25'], ['11', '12', '19', '20'], ['13', '14', '21', '22', '26', '31'], ['6', '7', '32'], ['4', '5'], ['27', '28', '29', '30']]",CDCl3
O(C(F)(F)C(F)(F)F)C(C(C(F)(F)F)(C(OC(F)(F)C(F)(F)F)(F)F)C(OC(C(F)(F)F)(F)F)(F)F)(F)F,"['-88.3', '-87.1', '-65.9', '-62.8']","[['4', '5', '11', '12', '20', '21'], ['6', '7', '13', '14', '22', '23', '34', '35', '36'], ['27', '28', '29', '30', '37', '38'], ['31', '32', '33']]",CDCl3
FC(C(C(F)(F)F)(C(OC(F)(F)C(F)(F)F)(F)F)C(OC(C(F)(F)F)(F)F)(F)F)(F)F,"['-88.5', '-87.3', '-66.7', '-63.5']","[['5', '6', '14', '15'], ['7', '8', '16', '17', '28', '29'], ['21', '22', '23', '24'], ['1', '25', '26', '27', '30', '31']]",CDCl3
C(C(=C(F)Cl)[H])(F)(F)F,"['-60.72', '-58.97']","[['4'], ['5', '6', '7']]",CDCl3
C(C(=C(F)Cl)[H])(F)(F)F,"['-61.81', '-59.04']","[['9'], ['5', '6', '7']]",CDCl3
C(C(=C(F)Cl)[H])(F)(Cl)Cl,"['-62.098', '-50.018']","[['4'], ['5']]",CDCl3
C(C(=C(F)Cl)[H])(F)(Cl)Cl,"['-67.27', '-50.02']","[['9'], ['5']]",CDCl3
C(=C([H])F)(C([H])(F)F)F,"['-184.28', '-173.96', '-126.85']","[['4'], ['6'], ['7', '9']]",CDCl3
C(=C([H])F)(F)C(F)(F)[H],"['-159.72', '-156.92', '-124.35']","[['3'], ['6'], ['7', '9']]",CDCl3
C1(C(C(F)(F)O1)(F)F)([H])[H],"['-118.0', '-78.4']","[['7', '8'], ['5', '6']]",CDCl3
C(C(C(F)(F)OC(C(C(C(F)(F)F)([H])[H])(F)F)([H])[H])(F)[H])(F)(F)F,"['-212.6', '-103.8', '-84.0', '-81.7', '-75.9', '-62.7']","[['12'], ['15', '16'], ['14'], ['13'], ['9', '10', '11'], ['17', '18', '19']]",CDCl3
C(C(C(OC(F)([H])[H])([H])[H])(F)F)(F)(F)F,"['-155.0', '-125.0', '-85.0']","[['6'], ['10', '11'], ['7', '8', '9']]",CDCl3
C(C(F)(F)C(OC(=O)C(F)(F)F)([H])[H])(F)(F)[H],"['-138.8', '-125.25', '-76.63']","[['6', '7'], ['8', '9'], ['13', '14', '15']]",CDCl3
C(C(F)(F)C(OC(=O)C(F)(F)F)([H])[H])(F)(F)F,"['-124.5', '-85.0', '-76.2']","[['8', '9'], ['5', '6', '7'], ['13', '14', '15']]",CDCl3
C(C(F)(F)C(OC(=O)OC(C(C(F)(F)[H])(F)F)([H])[H])([H])[H])(F)(F)[H],"['-138.3', '-124.6']","[['6', '7', '17', '18'], ['8', '9', '19', '20']]",neat
C(C(F)(F)C(OC(=O)OC(C(C(F)(F)F)(F)F)([H])[H])([H])[H])(F)(F)F,"['-124.6', '-84.8']","[['8', '9', '19', '20'], ['5', '6', '7', '16', '17', '18']]",neat
FC(F)(F)C(OC(=O)OC(C(F)(F)F)([H])[H])([H])[H],['-82.3'],"[['1', '5', '6', '10', '13', '14']]",neat
C(#CF)F,['-261.0'],"[['3', '4']]",CDCl3
C(#CF)C(F)(F)F,"['-203.0', '-50.0']","[['4'], ['5', '6', '7']]",CDCl3
C(=C=C(F)F)([H])[H],['-107.0'],"[['4', '5']]",CDCl3
C1(C(C(C1(N([H])[H])C(=O)O[H])([H])[H])(F)F)([H])[H],"['-95.21', '-90.25']","[['5'], ['6']]",CDCl3
C1(C(C(C1(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[H])C(OC(C([H])([H])[H])(C([H])([H])[H])[H])=O)([H])[H])(F)F)([H])[H],['-95.03'],"[['5', '6']]",CDCl3
C1(C(C(C1(C(=O)O[H])C(OC(C([H])([H])[H])(C([H])([H])[H])[H])=O)([H])[H])(F)F)([H])[H],"['-95.85', '-95.11']","[['5'], ['6']]",CDCl3
C(C(C(OF)(F)F)(F)F)(OF)(F)F,"['-122.8', '-93.4', '146.0']","[['6', '7'], ['8', '9', '10', '11'], ['12', '13']]",CDCl3
C1(C(OOC1(F)F)(F)F)(F)F,"['-125.0', '-96.6']","[['8', '9'], ['6', '7', '10', '11']]",CDCl3
C(C(C(F)(F)OF)(F)F)(=O)F,"['-118.3', '-94.8', '22.9', '144.4']","[['7', '8'], ['9', '10'], ['6'], ['11']]",CDCl3
C(C(C(F)(F)Cl)(F)F)(=O)F,"['-117.3', '-71.2', '25.1']","[['7', '8'], ['9', '10'], ['6']]",CDCl3
C1(C(O1)(F)F)(F)F,['-111.0'],"[['4', '5', '6', '7']]",CDCl3
C(C(C(F)=O)(F)F)(=O)F,"['-111.6', '20.2']","[['6', '7'], ['5', '9']]",CDCl3
C(C(=C(Cl)Cl)Cl)(F)(F)F,['-61.02'],"[['7', '8', '9']]",CDCl3
C(C(=C(Cl)F)[H])(Cl)(Cl)Cl,['-59.49'],[['5']],CDCl3
C(C(=C(F)Cl)[H])(Cl)(Cl)Cl,['-67.93'],[['4']],CDCl3
C(C(=C(C(C(F)(F)F)(F)F)Cl)[H])(F)(F)F,"['-116.23', '-82.77', '-61.25']","[['11', '12'], ['13', '14', '15'], ['5', '6', '7']]",CDCl3
C(C(=C(C(C(F)(F)F)(F)F)Cl)[H])(F)(F)Cl,"['-116.12', '-82.74', '-49.33']","[['11', '12'], ['13', '14', '15'], ['6', '7']]",CDCl3
FC(=C(C(C(F)(F)F)(F)F)[H])C(F)(F)F,"['-115.28', '-113.49', '-85.95', '-74.15']","[['1'], ['8', '9'], ['10', '11', '12'], ['13', '14', '15']]",CDCl3
C(C(=C(C(C(F)(F)F)(F)F)Cl)F)(F)(F)F,"['-114.18', '-110.06', '-84.27', '-67.92']","[['10'], ['12', '13'], ['6', '14', '15'], ['7', '8', '9']]",CDCl3
C(C(=C(C(C(F)(F)F)(F)F)F)[H])(F)(F)F,"['-122.85', '-113.64', '-83.87', '-59.71']","[['12', '13'], ['11'], ['6', '14', '15'], ['7', '8', '9']]",CDCl3
C(C(=C(C(C(F)(F)F)(F)F)Br)F)(F)(F)F,"['-110.2', '-98.34', '-83.83', '-67.47']","[['12', '13'], ['10'], ['6', '14', '15'], ['7', '8', '9']]",CDCl3
C(C(=C(C(C(F)(F)F)([H])C(F)(F)F)F)[H])(F)(F)F,"['-94.88', '-65.68', '-59.85']","[['11'], ['6', '14', '15', '16', '17', '18'], ['7', '8', '9']]",CDCl3
C(C(F)(F)Cl)(C(Cl)(Cl)C(C(F)(F)F)(F)F)=O,"['-116.5', '-76.2', '-60.0']","[['12', '13'], ['14', '15', '16'], ['4', '5']]",CDCl3
C1(C(C(O1)(C(F)(F)Cl)C(F)(F)Cl)(F)[H])(F)F,"['-175.9', '-101.4', '-80.4', '-69.0', '-67.4', '-61.4']","[['9'], ['10', '11'], ['6'], ['7'], ['14'], ['13']]",CDCl3
C(C(F)(F)Cl)(C(Cl)(Cl)C(C(F)(F)F)(F)[H])=O,"['-194.8', '-71.4', '-60.8']","[['13'], ['14', '15', '16'], ['4', '5']]",CDCl3
C1(C(C(O1)(C(F)(F)Cl)C(F)(F)Cl)(F)[H])(F)F,"['-208.7', '-101.5', '-79.8', '-73.0', '-66.1', '-62.7']","[['9'], ['10', '11'], ['6'], ['7'], ['14'], ['13']]",CDCl3
C(C(=O)OC(C(C(F)(F)OC(C(C(=O)F)(F)F)([H])[H])(F)F)([H])[H])(F)(F)F,"['-120.5', '-114.9', '-80.8', '-77.4', '18.3']","[['16', '17'], ['20', '21'], ['18', '19'], ['12', '13', '14'], ['11']]",CDCl3
C(C(=O)OC(C(F)(F)C(=O)F)([H])[H])(F)(F)F,"['-114.3', '-76.5', '18.3']","[['12', '13'], ['8', '9', '10'], ['7']]",CDCl3
ClC(C(C(F)(F)OC(C(C(=O)F)(F)F)([H])[H])(F)F)([H])[H],"['-120.6', '-114.1', '-89.7', '19.4']","[['10', '11'], ['14', '15'], ['12', '13'], ['9']]",CDCl3
C(C(F)(F)C(Cl)([H])[H])(=O)F,"['-108.7', '19.4']","[['4', '5'], ['7']]",CDCl3
C(C(OC(C(C(OC(C(C(F)(F)F)(F)F)([H])[H])([H])[H])(F)F)=O)([H])[H])(F)(F)C(F)(F)F,"['-125.6', '-115.1', '-86.1']","[['13', '14', '20', '21'], ['16', '17'], ['11', '22', '23', '28', '29', '30']]",CDCl3
BrC(C(C(F)(F)OC(C(C(=O)F)(F)F)([H])[H])(F)F)([H])[H],"['-114.9', '-112.1', '-89.2', '12.7']","[['5', '6'], ['11', '12'], ['7', '8'], ['14']]",CDCl3
C(C(F)(F)C([H])([H])Br)(=O)F,"['-103.7', '13.5']","[['4', '5'], ['7']]",CDCl3
FC(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)Cl,['-54.77'],"[['1', '5']]",CDCl3
ClC(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl,['-97.62'],"[['7', '8']]",CDCl3
ClC(C(C(F)(F)F)(Cl)Cl)(Cl)Cl,['-68.42'],"[['9', '10', '11']]",CDCl3
ClC(C(C(F)(Cl)Cl)(F)F)(Cl)Cl,"['-102.71', '-63.56']","[['7', '8'], ['9']]",CDCl3
ClC(C(C(F)(F)Cl)(F)Cl)(Cl)Cl,"['-113.51', '-58.5', '-56.21']","[['8'], ['10'], ['11']]",CDCl3
C(C(C(Cl)(Cl)F)(F)Cl)(Cl)(Cl)F,"['-115.79', '-60.08']","[['5'], ['4', '8']]",CDCl3
C(C(C(Cl)(Cl)F)(Cl)Cl)(Cl)(F)F,"['-57.0', '-55.72']","[['4'], ['7', '8']]",CDCl3
C(C(C(Cl)(F)F)(Cl)Cl)(Cl)(F)F,['-58.42'],"[['7', '8', '10', '11']]",CDCl3
C(C(C(Cl)(Cl)F)(Cl)Cl)(F)(F)F,"['-70.74', '-60.39']","[['6', '7', '8'], ['4']]",CDCl3
C(C(C(Cl)(Cl)Cl)(F)F)(F)(F)Cl,"['-107.65', '-61.06']","[['5', '9'], ['7', '8']]",CDCl3
C(C(C(Cl)(Cl)F)(F)F)(F)(Cl)Cl,"['-108.39', '-63.38']","[['5', '9'], ['4', '6']]",CDCl3
C(C(C(Cl)(Cl)Cl)(F)Cl)(F)(F)F,"['-120.59', '-71.59']","[['5'], ['6', '7', '8']]",CDCl3
C(C(C(Cl)(F)F)(Cl)Cl)(F)(F)F,"['-73.3', '-60.78']","[['6', '7', '8'], ['10', '11']]",CDCl3
C(C(C(Cl)(Cl)Cl)(F)F)(F)(F)F,"['-114.2', '-75.32']","[['5', '9'], ['6', '7', '8']]",CDCl3
C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)(F)F,"['-112.49', '-105.99', '-76.47', '-62.4']","[['5', '9'], ['10', '11'], ['6', '7', '8'], ['12', '13']]",CDCl3
C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(F)(F)F,"['-114.07', '-77.22', '-74.3']","[['5', '9'], ['6', '7', '8'], ['12', '13', '14']]",CDCl3
C1(C(C1([H])[H])([H])[H])(F)[H],['-218.0'],[['4']],CDCl3
C1(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(F)[H],['-165.0'],[['6']],CDCl3
C1(C(C(C(C(C(C(C1([H])[H])(F)[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],['-160.0'],[['9']],CDCl3
C1(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F,['-133.0'],"[['6', '7', '8', '9', '10', '11', '12', '13', '14', '15']]",CDCl3
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,['-133.0'],"[['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']]",CDCl3
C1(C(C(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,['-120.0'],"[['9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24']]",CDCl3
C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)F,"['-126.1', '-122.5', '-121.7', '-81.1']","[['12', '13', '22', '23'], ['14', '15', '20', '21'], ['16', '17', '18', '19'], ['9', '10', '11', '24', '25', '26']]",CDCl3
C(C(C(C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)(F)Br,"['-123.2', '-122.6', '-118.1', '-65.1']","[['16', '17', '18', '19'], ['14', '15', '20', '21'], ['12', '13', '22', '23'], ['10', '11', '25', '26']]",CDCl3
[O-][N+](C(C(F)(F)[H])(F)F)=O,"['-157.0', '-91.5']","[['8', '9'], ['6', '7']]",CDCl3
C1(=C(C(F)=NC(=C1[H])F)[H])[H],['-70.0'],"[['7', '8']]",CDCl3
C1(=C(C(=NC(=C1F)F)[H])[H])[H],"['-140.0', '-87.0']","[['8'], ['7']]",CDCl3
C1(=C(C(=NC(=C1[H])F)[H])F)[H],"['-134.0', '-73.0']","[['8'], ['7']]",CDCl3
C1(=C(C(=NC(=C1[H])[H])[H])F)F,"['-153.0', '-109.0']","[['7'], ['8']]",CDCl3
C1(=C(C(=NC(=C1[H])[H])F)[H])F,"['-130.0', '-63.0']","[['7'], ['8']]",CDCl3
C1(=C(C(=NC(=C1F)[H])[H])F)F,"['-148.0', '-146.0']","[['7'], ['8', '9']]",CDCl3
C1(=C(C(=NC(=C1[H])[H])F)F)F,"['-165.0', '-123.0', '-83.0']","[['7'], ['8'], ['9']]",CDCl3
C1(=C(C(=NC(=C1[H])F)F)F)[H],"['-147.0', '-86.0', '-73.0']","[['8'], ['9'], ['7']]",CDCl3
N1=C(C(=C(C(=C1F)F)F)F)F,"['-162.0', '-134.0', '-88.0']","[['8', '10'], ['9'], ['7', '11']]",CDCl3
C1(=C(C(=C(C(=C1F)F)Cl)F)F)[H],"['-141.0', '-138.0']","[['7', '11'], ['8', '10']]",CDCl3
C1(=C(C(=NC(=C1F)[H])F)F)[H],"['-136.0', '-129.0', '-91.0']","[['7'], ['9'], ['8']]",CDCl3
C1(=C(C(=NC(=C1[H])F)F)[H])F,"['-95.0', '-65.0']","[['9'], ['7', '8']]",CDCl3
C1(=C(C(=NC(=C1F)F)F)[H])F,"['-170.0', '-116.0', '-84.0', '-69.0']","[['10'], ['9'], ['8'], ['7']]",CDCl3
C1(=C(C(=NC(=C1F)F)[H])F)F,"['-158.0', '-150.0', '-141.0', '-83.0']","[['8'], ['9'], ['10'], ['7']]",CDCl3
C1(=C(C(=C(C2=C1C(=C(O2)F)[H])[H])[H])[H])[H],['-112.3'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C(=C(O2)F)C([H])([H])[H])[H])[H])[H])[H],['-120.7'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C(=C(O2)F)[H])[H])[H])Cl)[H],['-109.7'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C(=C(O2)F)[H])[H])[H])Br)[H],['-109.7'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C(=C(O2)F)[H])[H])[H])[N+]([O-])=O)[H],['-106.8'],[['10']],CDCl3
C1(=C(C(=C(C2=C1C(=C(C(=N2)[H])[H])[H])[H])[H])F)[H],['-113.3'],[['11']],CDCl3
C1(=C(C(=C(C(=C1C(C(C(C(=C([H])[H])F)([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H],['-94.91'],[['12']],CDCl3
C1(=C(C(=C(C(=C1C(C(C(=C([H])[H])F)([H])[H])([H])[H])[H])[H])[H])[H])[H],['-95.5'],[['11']],CDCl3
C(C(C(C(C(C(C(=C([H])[H])F)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],['-93.5'],[['9']],CDCl3
